Unnamed: 0,INSTNM,CITY,STABBR,ZIP,CONTROL,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT,UGDS,REGION,DEP_INC_PCT_H2,MD_INC_WDRAW_2YR_TRANS_YR4_RT,IND_COMP_4YR_TRANS_YR4_RT,SD_EARN_WNE_P10,FEMALE_WDRAW_4YR_TRANS_YR6_RT,LO_INC_COMP_2YR_TRANS_YR3_RT,NOLOAN_COMP_ORIG_YR4_RT,OPENADMP,PELL_COMP_4YR_TRANS_YR3_RT,DEATH_YR2_RT,NOLOAN_UNKN_ORIG_YR2_RT,NOT1STGEN_WDRAW_ORIG_YR6_RT,HI_INC_YR8_N,CUML_DEBT_P90,C100_L4
1,Alabama A & M University,Normal,AL,35762,1,0.9027,929.0,9857.0,18236.0,4824.0,5,,,,,,,,2.0,,,,,,,
2,University of Alabama at Birmingham,Birmingham,AL,35294-0110,1,0.9181,1195.0,8328.0,19032.0,12866.0,5,,,,,,,,2.0,,,,,,,
3,Amridge University,Montgomery,AL,36117-3553,2,,,6900.0,6900.0,322.0,5,,,,,,,,1.0,,,,,,,
4,University of Alabama in Huntsville,Huntsville,AL,35899,1,0.8123,1322.0,10280.0,21480.0,6917.0,5,,,,,,,,2.0,,,,,,,
5,Alabama State University,Montgomery,AL,36104-0271,1,0.9787,935.0,11068.0,19396.0,4189.0,5,,,,,,,,2.0,,,,,,,
6,The University of Alabama,Tuscaloosa,AL,35487-0166,1,0.533,1278.0,10780.0,28100.0,32387.0,5,,,,,,,,2.0,,,,,,,
7,Central Alabama Community College,Alexander City,AL,35010,1,,,4440.0,8010.0,1404.0,5,,,,,,,,1.0,,,,,,,0.1856
8,Athens State University,Athens,AL,35611,1,,,,,2801.0,5,,,,,,,,,,,,,,,
9,Auburn University at Montgomery,Montgomery,AL,36117-3596,1,0.8254,1083.0,8020.0,17140.0,4211.0,5,,,,,,,,2.0,,,,,,,
10,Auburn University,Auburn,AL,36849,1,0.8393,1282.0,10968.0,29640.0,23391.0,5,,,,,,,,2.0,,,,,,,
11,Birmingham Southern College,Birmingham,AL,35254,2,0.6186,1231.0,35804.0,35804.0,1283.0,5,,,,,,,,2.0,,,,,,,
12,Chattahoochee Valley Community College,Phenix City,AL,36869,1,,,4314.0,7884.0,1370.0,5,,,,,,,,1.0,,,,,,,0.1157
13,Concordia College Alabama,Selma,AL,36701,2,,,10320.0,10320.0,389.0,5,,,,,,,,1.0,,,,,,,
14,South University-Montgomery,Montgomery,AL,36116,3,,,17014.0,17014.0,369.0,5,,,,,,,,1.0,,,,,,,
15,Enterprise State Community College,Enterprise,AL,36330-1300,1,,,4440.0,8010.0,1365.0,5,,,,,,,,1.0,,,,,,,0.1076
16,Coastal Alabama Community College,Bay Minette,AL,36507-2698,1,,,4380.0,7890.0,4101.0,5,,,,,,,,1.0,,,,,,,0.0176
17,Faulkner University,Montgomery,AL,36109-3390,2,0.5101,1031.0,20970.0,20970.0,2272.0,5,,,,,,,,2.0,,,,,,,
18,Gadsden State Community College,Gadsden,AL,35903,1,,,3600.0,6456.0,4349.0,5,,,,,,,,1.0,,,,,,,0.0948
19,New Beginning College of Cosmetology,Albertville,AL,35951,3,,,,,83.0,5,,,,,,,,1.0,,,,,,,0.4138
20,George C Wallace Community College-Dothan,Dothan,AL,36303-9234,1,,,4380.0,7950.0,3836.0,5,,,,,,,,1.0,,,,,,,0.1158
21,George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,1,,,3726.0,6582.0,4805.0,5,,,,,,,,1.0,,,,,,,0.1415
